SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,crypto_id
1,USD Coin,USDC,09-10-18 23:59,1.00833,1.00003,1.00427,1.00686,108803,0,10
2,USD Coin,USDC,10-10-18 23:59,1.01908,1.00397,1.00494,1.00962,711783,0,10
3,USD Coin,USDC,11-10-18 23:59,1.03123,1.00173,1.00994,1.00978,4177290,0,10
4,USD Coin,USDC,12-10-18 23:59,1.01871,1.00114,1.00861,1.01272,1322240,0,10
5,USD Coin,USDC,13-10-18 23:59,1.02029,1.00355,1.01445,1.00743,698507,0,10
6,USD Coin,USDC,14-10-18 23:59,1.02251,1.00492,1.00726,1.01631,982750,0,10
7,USD Coin,USDC,15-10-18 23:59,1.11373,0.998372,1.0169,1.0268,10660400,0,10
8,USD Coin,USDC,16-10-18 23:59,1.03551,1.01899,1.02723,1.02143,2124080,24323316.23,10
9,USD Coin,USDC,17-10-18 23:59,1.02653,1.01058,1.02404,1.01219,1102740,24107422.79,10
10,USD Coin,USDC,18-10-18 23:59,1.02062,1.00923,1.01466,1.01489,1182450,24187789.27,10
11,USD Coin,USDC,19-10-18 23:59,1.01643,1.00631,1.01475,1.00698,715078,24002105.74,10
12,USD Coin,USDC,20-10-18 23:59,1.01363,1.00255,1.00749,1.00643,299871,23994903.42,10
13,USD Coin,USDC,21-10-18 23:59,1.01961,1.0032,1.00682,1.0129,509276,24149158.59,10
14,USD Coin,USDC,22-10-18 23:59,1.0248,1.00329,1.01231,1.0093,1211160,33637864.5,10
15,USD Coin,USDC,23-10-18 23:59,1.01796,1.00747,1.00923,1.01059,1503840,0,10
16,USD Coin,USDC,24-10-18 23:59,1.01209,1.00238,1.00938,1.01002,923940,85597083.77,10
17,USD Coin,USDC,25-10-18 23:59,1.01369,1.0019,1.01046,1.00797,1365520,85423350.56,10
18,USD Coin,USDC,26-10-18 23:59,1.01552,1.00352,1.00611,1.01163,950623,125705149.4,10
19,USD Coin,USDC,27-10-18 23:59,1.01489,1.00107,1.01208,1.00824,712963,125258973.7,10
20,USD Coin,USDC,28-10-18 23:59,1.01496,1.00273,1.00662,1.01107,282707,125585473.8,10
21,USD Coin,USDC,29-10-18 23:59,1.019,1.00553,1.01083,1.00837,1983680,126268125.2,10
22,USD Coin,USDC,30-10-18 23:59,1.01086,1.00301,1.00643,1.00468,715882,127961108.5,10
23,USD Coin,USDC,31-10-18 23:59,1.00873,0.994033,1.00673,0.996386,1279360,126902714.9,10
24,USD Coin,USDC,01-11-18 23:59,1.0184,0.991167,0.996413,0.992502,1800480,126328568.3,10
25,USD Coin,USDC,02-11-18 23:59,1.00801,0.988213,0.992897,0.999969,2042390,132263915.8,10
26,USD Coin,USDC,03-11-18 23:59,1.0083,0.99781,1.00028,1.00379,1402480,132760169.6,10
27,USD Coin,USDC,04-11-18 23:59,1.00809,0.982746,1.00401,0.997669,2144200,131925671.2,10
28,USD Coin,USDC,05-11-18 23:59,1.00745,0.996702,0.996997,0.998748,1287400,134043873.1,10
29,USD Coin,USDC,06-11-18 23:59,1.00506,0.99711,1.00249,1.00052,2241070,134764761.2,10
30,USD Coin,USDC,07-11-18 23:59,1.01161,0.997181,1.00144,1.0043,2589880,134846051,10
31,USD Coin,USDC,08-11-18 23:59,1.00721,0.998625,1.00383,1.00384,3423190,134582387.3,10
32,USD Coin,USDC,09-11-18 23:59,1.01361,1.00194,1.00407,1.00804,3478250,135152022.9,10
33,USD Coin,USDC,10-11-18 23:59,1.02973,0.995854,1.00711,1.01096,2497760,135543519.2,10
34,USD Coin,USDC,11-11-18 23:59,1.01993,0.996741,1.01264,1.00901,4726130,135307299.9,10
35,USD Coin,USDC,12-11-18 23:59,1.01514,1.0006,1.00856,1.0132,6446540,135869180,10
36,USD Coin,USDC,13-11-18 23:59,1.02223,0.999477,1.00826,1.01282,6483310,135535719.5,10
37,USD Coin,USDC,14-11-18 23:59,1.04334,0.999077,1.01763,1.02307,24013300,145938457.5,10
38,USD Coin,USDC,15-11-18 23:59,1.06139,1.00785,1.02067,1.01831,18776600,145288638,10
39,USD Coin,USDC,16-11-18 23:59,1.03941,1.00618,1.01712,1.03027,9247040,147038389.4,10
40,USD Coin,USDC,17-11-18 23:59,1.03933,1.00616,1.03344,1.00912,5537380,144078009.4,10
41,USD Coin,USDC,18-11-18 23:59,1.01463,1.00118,1.00962,1.01188,5735460,144472180.1,10
42,USD Coin,USDC,19-11-18 23:59,1.05217,1.00131,1.01203,1.02019,27873100,145433960.3,10
43,USD Coin,USDC,20-11-18 23:59,1.0567,1.00722,1.01588,1.01995,43293600,156707497.5,10
44,USD Coin,USDC,21-11-18 23:59,1.03205,1.00892,1.02412,1.01441,20164000,165035814.9,10
45,USD Coin,USDC,22-11-18 23:59,1.02256,1.00616,1.01285,1.01948,11556600,166175761.7,10
46,USD Coin,USDC,23-11-18 23:59,1.02783,1.00833,1.01613,1.02061,17717500,169431171.8,10
47,USD Coin,USDC,24-11-18 23:59,1.03969,1.01105,1.01718,1.02296,19409700,169951729.4,10
48,USD Coin,USDC,25-11-18 23:59,1.04013,0.990265,1.02687,1.02596,23476200,170393048.5,10
49,USD Coin,USDC,26-11-18 23:59,1.05881,1.01551,1.01831,1.03741,29734800,172044015.3,10
50,USD Coin,USDC,27-11-18 23:59,1.038,0.995528,1.03242,1.0121,13622700,170711290.9,10
51,USD Coin,USDC,28-11-18 23:59,1.02585,1.00372,1.00871,1.01164,23327400,173690422.2,10
52,USD Coin,USDC,29-11-18 23:59,1.020604029,1.003920436,1.011676431,1.014596749,18025473.45,179215722.5,10
53,USD Coin,USDC,30-11-18 23:59,1.020449374,1.004065696,1.013566686,1.010396707,14143220.53,178350743.8,10
54,USD Coin,USDC,01-12-18 23:59,1.025343066,1.000193609,1.012817895,1.008197383,14198648.63,177962574.1,10
55,USD Coin,USDC,02-12-18 23:59,1.03179218,0.993286727,1.008255494,1.012771208,10761894.92,178770938.3,10
56,USD Coin,USDC,03-12-18 23:59,1.016583108,1.000215911,1.011119438,1.009748877,12188098.38,178146805.7,10
57,USD Coin,USDC,04-12-18 23:59,1.016427087,1.003539743,1.009027656,1.012795026,12556999.26,178853753.7,10
58,USD Coin,USDC,05-12-18 23:59,1.018598498,1.00489167,1.011454952,1.013633042,14257800.15,180498554.9,10
