Date,Close/Last,Volume,Open,High,Low,Symbol,stock_id
10-09-25,$241.53 ,27892090,$244.47 ,$244.76 ,$239.15 ,GOOGL,3
10-08-25,$244.62 ,21307100,$244.96 ,$246.01 ,$243.82 ,GOOGL,3
10-07-25,$245.76 ,23181290,$248.27 ,$250.44 ,$245.52 ,GOOGL,3
10-06-25,$250.43 ,28894650,$244.78 ,$251.32 ,$244.58 ,GOOGL,3
10-03-25,$245.35 ,30249560,$244.49 ,$246.30 ,$241.66 ,GOOGL,3
10-02-25,$245.69 ,25483300,$245.15 ,$246.81 ,$242.30 ,GOOGL,3
10-01-25,$244.90 ,31658230,$240.75 ,$246.30 ,$238.61 ,GOOGL,3
09/30/2025,$243.10 ,34724350,$242.81 ,$243.29 ,$239.25 ,GOOGL,3
09/29/2025,$244.05 ,32505780,$247.85 ,$251.15 ,$242.77 ,GOOGL,3
09/26/2025,$246.54 ,18503190,$247.07 ,$249.42 ,$245.97 ,GOOGL,3
09/25/2025,$245.79 ,31020380,$244.40 ,$246.49 ,$240.74 ,GOOGL,3
09/24/2025,$247.14 ,28201000,$251.66 ,$252.35 ,$246.44 ,GOOGL,3
09/23/2025,$251.66 ,26628020,$253.04 ,$254.36 ,$250.48 ,GOOGL,3
09/22/2025,$252.53 ,32290540,$254.43 ,$255.78 ,$250.30 ,GOOGL,3
09/19/2025,$254.72 ,55571420,$253.25 ,$256.00 ,$251.81 ,GOOGL,3
09/18/2025,$252.03 ,31239470,$251.68 ,$253.99 ,$249.80 ,GOOGL,3
09/17/2025,$249.53 ,34107990,$251.22 ,$251.60 ,$246.28 ,GOOGL,3
09/16/2025,$251.16 ,34109720,$252.08 ,$253.04 ,$249.47 ,GOOGL,3
09/15/2025,$251.61 ,58383800,$244.66 ,$252.41 ,$244.66 ,GOOGL,3
09-12-25,$240.80 ,26771610,$240.37 ,$242.08 ,$238.00 ,GOOGL,3
09-11-25,$240.37 ,30599330,$239.88 ,$242.25 ,$236.25 ,GOOGL,3
09-10-25,$239.17 ,35141070,$238.90 ,$241.66 ,$237.85 ,GOOGL,3
09-09-25,$239.63 ,38060960,$234.17 ,$240.47 ,$233.23 ,GOOGL,3
09-08-25,$234.04 ,32474740,$235.47 ,$238.13 ,$233.67 ,GOOGL,3
09-05-25,$235.00 ,46588930,$232.20 ,$235.76 ,$231.90 ,GOOGL,3
09-04-25,$232.30 ,51684170,$229.65 ,$232.37 ,$226.11 ,GOOGL,3
09-03-25,$230.66 ,103336100,$226.21 ,$231.31 ,$224.79 ,GOOGL,3
09-02-25,$211.35 ,47523040,$208.44 ,$211.68 ,$206.20 ,GOOGL,3
08/29/2025,$212.91 ,39728360,$210.51 ,$214.65 ,$210.20 ,GOOGL,3
08/28/2025,$211.64 ,32339310,$207.25 ,$212.22 ,$206.90 ,GOOGL,3
08/27/2025,$207.48 ,23022850,$205.70 ,$208.91 ,$205.65 ,GOOGL,3
08/26/2025,$207.14 ,28464130,$207.51 ,$207.85 ,$205.70 ,GOOGL,3
08/25/2025,$208.49 ,29928880,$206.43 ,$210.52 ,$205.28 ,GOOGL,3
08/22/2025,$206.09 ,42827040,$202.73 ,$208.54 ,$201.30 ,GOOGL,3
08/21/2025,$199.75 ,19774630,$199.75 ,$202.48 ,$199.43 ,GOOGL,3
08/20/2025,$199.32 ,28955500,$200.73 ,$201.28 ,$196.60 ,GOOGL,3
08/19/2025,$201.57 ,24240230,$203.03 ,$203.44 ,$199.96 ,GOOGL,3
08/18/2025,$203.50 ,18526590,$204.20 ,$205.27 ,$202.49 ,GOOGL,3
08/15/2025,$203.90 ,34931420,$203.85 ,$206.44 ,$201.28 ,GOOGL,3
08/14/2025,$202.94 ,25230430,$201.50 ,$204.44 ,$201.23 ,GOOGL,3
08/13/2025,$201.96 ,28342920,$204.13 ,$204.53 ,$197.51 ,GOOGL,3
08-12-25,$203.34 ,30424450,$201.37 ,$204.50 ,$200.59 ,GOOGL,3
08-11-25,$201.00 ,25832440,$200.94 ,$201.48 ,$199.07 ,GOOGL,3
08-08-25,$201.42 ,39161830,$197.22 ,$202.61 ,$197.17 ,GOOGL,3
08-07-25,$196.52 ,26321810,$197.06 ,$197.54 ,$194.33 ,GOOGL,3
08-06-25,$196.09 ,21562910,$194.50 ,$196.63 ,$193.67 ,GOOGL,3
08-05-25,$194.67 ,31602340,$194.71 ,$197.86 ,$193.89 ,GOOGL,3
08-04-25,$195.04 ,31547350,$190.29 ,$195.27 ,$190.12 ,GOOGL,3
08-01-25,$189.13 ,34832180,$189.03 ,$190.83 ,$187.82 ,GOOGL,3
07/31/2025,$191.90 ,51329160,$195.71 ,$195.99 ,$191.09 ,GOOGL,3
07/30/2025,$196.53 ,32445410,$195.60 ,$197.60 ,$194.69 ,GOOGL,3
07/29/2025,$195.75 ,41389150,$192.43 ,$195.92 ,$192.08 ,GOOGL,3
07/28/2025,$192.58 ,38139500,$193.65 ,$194.05 ,$190.84 ,GOOGL,3
07/25/2025,$193.18 ,39785860,$191.98 ,$194.33 ,$191.26 ,GOOGL,3
07/24/2025,$192.17 ,74881690,$197.03 ,$197.95 ,$191.00 ,GOOGL,3
07/23/2025,$190.23 ,58681950,$191.50 ,$192.53 ,$189.18 ,GOOGL,3
07/22/2025,$191.34 ,44660220,$191.50 ,$191.65 ,$187.46 ,GOOGL,3
07/21/2025,$190.10 ,45803130,$186.25 ,$190.29 ,$186.15 ,GOOGL,3
07/18/2025,$185.06 ,34014510,$185.40 ,$186.42 ,$183.71 ,GOOGL,3
07/17/2025,$183.58 ,31992570,$182.14 ,$184.06 ,$180.48 ,GOOGL,3
07/16/2025,$182.97 ,33104190,$183.24 ,$184.33 ,$182.03 ,GOOGL,3
