TradeKey,UserKey,AssetSymbol,AssetType,TradeDate,TradeType,Quantity,PriceUSD,TotalUSD,Exchange,Region
1,20,SOL,Crypto,2024-04-02,BUY,45.803,40057.15,1834737.64,Coinbase,Asia
2,15,AAPL,Stock,2020-09-02,BUY,29.952,364.71,10923.79,NASDAQ,Asia
3,5,USDC,Crypto,2020-02-17,BUY,3.525,49922.3,175976.11,Coinbase,Asia
4,12,TRX,Crypto,2022-09-17,BUY,33.804,50057,1692126.83,Coinbase,Asia
5,15,ETH,Crypto,2024-07-18,SELL,4.085,21443.74,87597.68,NYSE,Asia
6,1,GOOGL,Stock,2021-12-31,SELL,5.273,1051.17,5542.82,NASDAQ,Asia
7,13,DOGE,Crypto,2020-02-05,SELL,33.772,31907.68,1077586.17,Coinbase,USA
8,18,LINK,Crypto,2024-10-15,SELL,22.47,45406.69,1020288.32,NYSE,Asia
9,13,USDC,Crypto,2024-03-29,SELL,34.338,35757.93,1227855.8,NYSE,USA
10,14,LTC,Crypto,2022-02-04,SELL,3.459,31574.32,109215.57,Binance,Asia
11,7,SOL,Crypto,2022-02-20,SELL,44.406,35131.66,1560056.49,NYSE,USA
12,13,AMZN,Stock,2021-03-19,SELL,3.317,1143.19,3791.96,Coinbase,USA
13,2,AMZN,Stock,2024-09-28,SELL,7.094,228.31,1619.63,Kraken,Asia
14,10,TSLA,Stock,2022-09-17,SELL,42.046,195.33,8212.85,NYSE,Asia
15,8,LTC,Crypto,2021-10-05,SELL,6.781,48299.56,327519.32,NASDAQ,USA
16,3,AMZN,Stock,2023-11-15,SELL,1.27,348.41,442.48,NYSE,Asia
17,2,BNB,Crypto,2021-09-06,SELL,49.631,24832.39,1232456.35,NASDAQ,Asia
18,5,GOOGL,Stock,2023-03-31,BUY,10.13,1482.41,15016.81,Kraken,Asia
19,3,USDC,Crypto,2021-02-10,BUY,5.442,40953.88,222871.01,NASDAQ,Asia
20,16,TRX,Crypto,2022-07-21,BUY,13.39,46232.87,619058.13,Kraken,Asia
21,3,TRX,Crypto,2020-10-20,BUY,15.303,1427.84,21850.24,NASDAQ,Asia
22,11,ETH,Crypto,2023-10-11,BUY,8.878,53475.19,474752.74,Coinbase,Asia
23,1,BTC,Crypto,2022-07-04,SELL,14.233,15342.83,218374.5,Coinbase,Asia
24,15,XRP,Crypto,2024-01-13,SELL,47.27,12395.29,585925.36,NYSE,Asia
25,20,LINK,Crypto,2021-05-19,SELL,20.064,51314.7,1029578.14,Binance,Asia
26,9,BNB,Crypto,2023-08-09,BUY,15.755,36372.94,573055.67,Coinbase,Asia
27,10,USDC,Crypto,2020-12-30,BUY,27.429,42910.14,1176982.23,Coinbase,Asia
28,18,BTC,Crypto,2023-03-03,BUY,1.106,7974.8,8820.13,Coinbase,Asia
29,19,USDC,Crypto,2020-04-16,BUY,25.939,47296.95,1226835.59,NASDAQ,USA
30,4,ETH,Crypto,2024-07-24,BUY,14.471,37512.69,542846.14,Coinbase,Asia
31,18,LTC,Crypto,2023-03-21,BUY,3.557,54314.38,193196.25,Kraken,Asia
32,2,AMZN,Stock,2020-11-05,SELL,6.351,1988.62,12629.73,Coinbase,Asia
33,14,MSFT,Stock,2023-02-01,BUY,30.861,1385.02,42743.1,Coinbase,Asia
34,5,ETH,Crypto,2020-01-06,BUY,3.746,19184.11,71863.68,Binance,Asia
35,15,AAPL,Stock,2024-04-18,BUY,21.394,668.03,14291.83,Coinbase,Asia
36,16,GOOGL,Stock,2021-05-13,SELL,45.668,796.97,36396.03,Coinbase,Asia
37,1,BTC,Crypto,2024-09-01,BUY,48.76,52000.21,2535530.24,Kraken,Asia
38,11,DOGE,Crypto,2022-09-19,BUY,38.626,50348.06,1944744.17,Binance,Asia
39,1,TSLA,Stock,2023-05-29,SELL,9.839,1731.61,17037.31,Kraken,Asia
40,6,SOL,Crypto,2022-02-10,SELL,24.682,4402.23,108655.84,NASDAQ,Asia
41,1,BNB,Crypto,2023-09-24,SELL,25.905,35138.41,910260.51,Coinbase,Asia
42,5,LINK,Crypto,2020-08-01,BUY,31.912,3854.34,122999.7,Kraken,Asia
43,7,MSFT,Stock,2023-12-02,BUY,12.676,1318.07,16707.86,NYSE,USA
44,4,MSFT,Stock,2020-10-02,SELL,2.334,804.63,1878.01,NASDAQ,Asia
45,9,AAPL,Stock,2020-04-09,BUY,24.565,297.22,7301.21,NYSE,Asia
46,18,LINK,Crypto,2024-04-18,BUY,28.762,25708.69,739433.34,Kraken,Asia
47,17,TRX,Crypto,2020-07-07,SELL,34.428,1482.48,51038.82,Kraken,Asia
48,9,BNB,Crypto,2024-09-10,BUY,33.45,30733.95,1028050.63,Kraken,Asia
49,3,XRP,Crypto,2020-10-12,SELL,32.176,23139.77,744545.24,Kraken,Asia
50,19,LTC,Crypto,2022-01-19,SELL,41.175,51897.53,2136880.8,NASDAQ,USA
51,19,AMZN,Stock,2024-10-08,BUY,8.475,1610.72,13650.85,NYSE,USA
52,20,MSFT,Stock,2022-04-01,SELL,36.959,218.22,8065.19,Coinbase,Asia
53,4,BNB,Crypto,2021-07-03,SELL,13.044,39837.22,519636.7,Kraken,Asia
54,11,XRP,Crypto,2020-08-25,SELL,42.481,4446.95,188910.88,Binance,Asia
55,5,AAPL,Stock,2021-07-25,BUY,25.288,545.74,13800.67,Binance,Asia
56,2,USDC,Crypto,2020-05-16,SELL,13.222,39992,528774.22,Coinbase,Asia
57,20,MSFT,Stock,2020-03-18,BUY,35.784,1360.1,48669.82,Binance,Asia
58,1,ETH,Crypto,2024-01-17,BUY,32.489,27352.74,888663.17,Kraken,Asia
59,6,MSFT,Stock,2021-12-07,SELL,5.211,967.3,5040.6,Binance,Asia
60,20,TRX,Crypto,2023-01-08,SELL,0.937,47596.51,44597.93,NYSE,Asia
61,14,BNB,Crypto,2024-04-20,BUY,2.888,48915.36,141267.56,NYSE,Asia
62,7,USDC,Crypto,2020-02-15,SELL,36.726,23161.98,850646.88,NASDAQ,USA
63,16,TSLA,Stock,2022-08-25,SELL,21.857,298.48,6523.88,NASDAQ,Asia
64,9,AMZN,Stock,2023-05-13,SELL,3.248,1211.7,3935.6,Kraken,Asia
65,7,DOGE,Crypto,2022-09-06,BUY,5.643,33705,190197.32,NASDAQ,USA
66,18,BTC,Crypto,2023-06-08,SELL,27.712,26297.99,728769.9,Coinbase,Asia
67,1,ETH,Crypto,2021-05-22,BUY,48.555,45475.09,2208042.99,Binance,Asia
68,6,GOOGL,Stock,2022-04-07,BUY,24.784,1120.35,27766.75,Coinbase,Asia
